FID,time_period,time_format,granularity,geocode,label,geom,pact_m,pact_t,pact_f,pocu_t,pocu_m,pocu_f,psal_t,psal_m,psal_f,psel_t,ppar_t
Malla de 250m-2024.fid-68150d23_197ad17ab1b_206c,2024,P1Y,GRID_250,250mN102175E171000,250mN102175E171000,"MULTIPOLYGON (((28.128128428698833 -16.56166664569173, 28.130290141614026 -16.562344412433568, 28.131055042697575 -16.559928674920386, 28.128893307893247 -16.559250956236784, 28.128128428698833 -16.56166664569173)))",11,19,8,16,9,7,12,6,6,4,3
Malla de 250m-2024.fid-68150d23_197ad17ab1b_206d,2024,P1Y,GRID_250,250mN102175E171050,250mN102175E171050,"MULTIPOLYGON (((28.12965811944093 -16.556835234475052, 28.13181987613305 -16.557512905096313, 28.13258464191915 -16.55509710296255, 28.13042286334057 -16.554419480407752, 28.12965811944093 -16.556835234475052)))",15,28,13,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_206e,2024,P1Y,GRID_250,250mN102175E171275,250mN102175E171275,"MULTIPOLYGON (((28.136538379043873 -16.53509228501417, 28.138700332666453 -16.53576952288904, 28.13946448954683 -16.53335343002257, 28.137302514049715 -16.532676240251217, 28.136538379043873 -16.53509228501417)))",27,44,17,37,23,14,34,21,12,4,6
Malla de 250m-2024.fid-68150d23_197ad17ab1b_206f,2024,P1Y,GRID_250,250mN102175E171375,250mN102175E171375,"MULTIPOLYGON (((28.139594513092 -16.52542791220641, 28.141756554204694 -16.52610495764253, 28.142520440425027 -16.523688735593023, 28.140358377443118 -16.52301173827689, 28.139594513092 -16.52542791220641)))",37,67,30,62,33,29,57,30,27,5,6
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2070,2024,P1Y,GRID_250,250mN102175E171400,250mN102175E171400,"MULTIPOLYGON (((28.140358377443118 -16.52301173827689, 28.142520440425027 -16.523688735593023, 28.143284258976966 -16.52127248125078, 28.141122174127187 -16.520595532058742, 28.140358377443118 -16.52301173827689)))",41,81,39,71,38,32,63,35,28,8,10
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2071,2024,P1Y,GRID_250,250mN102175E171425,250mN102175E171425,"MULTIPOLYGON (((28.141122174127187 -16.520595532058742, 28.143284258976966 -16.52127248125078, 28.144048009859144 -16.518856194617022, 28.141885903142818 -16.518179293553196, 28.141122174127187 -16.520595532058742)))",24,41,17,36,23,13,31,18,12,5,5
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2072,2024,P1Y,GRID_250,250mN102175E201200,250mN102175E201200,"MULTIPOLYGON (((29.002391028942576 -13.620353021521813, 29.004578164505745 -13.62096976630628, 29.00526036628603 -13.61851600338576, 29.003073210566132 -13.617899311544278, 29.002391028942576 -13.620353021521813)))",16,31,15,25,12,14,22,11,12,3,5
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2073,2024,P1Y,GRID_250,250mN102175E201225,250mN102175E201225,"MULTIPOLYGON (((29.003073210566132 -13.617899311544278, 29.00526036628603 -13.61851600338576, 29.00594249880272 -13.616062209925847, 29.003755322927674 -13.615445571031307, 29.003073210566132 -13.617899311544278)))",54,104,51,92,47,46,82,42,40,11,12
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2074,2024,P1Y,GRID_250,250mN102175E201250,250mN102175E201250,"MULTIPOLYGON (((29.003755322927674 -13.615445571031307, 29.00594249880272 -13.616062209925847, 29.006624562054544 -13.61360838592825, 29.00443736602583 -13.612991799984615, 29.003755322927674 -13.615445571031307)))",13,21,8,18,11,6,13,8,4,5,4
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2075,2024,P1Y,GRID_250,250mN102175E201275,250mN102175E201275,"MULTIPOLYGON (((29.00443736602583 -13.612991799984615, 29.006624562054544 -13.61360838592825, 29.007306556040113 -13.611154531394712, 29.005119339859355 -13.610537998405933, 29.00443736602583 -13.612991799984615)))",89,173,84,162,84,78,141,69,73,21,11
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2076,2024,P1Y,GRID_250,250mN102175E201300,250mN102175E201300,"MULTIPOLYGON (((29.005119339859355 -13.610537998405933, 29.007306556040113 -13.611154531394712, 29.007988480758197 -13.608700646326959, 29.00580124442687 -13.608084166296987, 29.005119339859355 -13.610537998405933)))",26,56,30,52,26,27,47,24,23,5,4
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2077,2024,P1Y,GRID_250,250mN102200E169225,250mN102200E169225,"MULTIPOLYGON (((28.07580934070389 -16.73377911461145, 28.0779694765275 -16.73446033763396, 28.078739199136916 -16.732046849485744, 28.076579041328696 -16.73136567423181, 28.07580934070389 -16.73377911461145)))",98,183,85,174,93,82,102,49,53,73,9
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2078,2024,P1Y,GRID_250,250mN102200E169250,250mN102200E169250,"MULTIPOLYGON (((28.076579041328696 -16.73136567423181, 28.078739199136916 -16.732046849485744, 28.079508854193392 -16.729633328937847, 28.07734867440186 -16.728952201456636, 28.076579041328696 -16.73136567423181)))",186,299,114,284,180,103,196,118,78,88,16
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2079,2024,P1Y,GRID_250,250mN102200E169275,250mN102200E169275,"MULTIPOLYGON (((28.07734867440186 -16.728952201456636, 28.079508854193392 -16.729633328937847, 28.08027844169554 -16.72721977599146, 28.078118239922016 -16.726538696287093, 28.07734867440186 -16.728952201456636)))",23,55,32,49,21,27,33,13,20,16,6
Malla de 250m-2024.fid-68150d23_197ad17ab1b_207a,2024,P1Y,GRID_250,250mN102200E169300,250mN102200E169300,"MULTIPOLYGON (((28.078118239922016 -16.726538696287093, 28.08027844169554 -16.72721977599146, 28.081047961642028 -16.72480619064776, 28.078887737887836 -16.724125158724355, 28.078118239922016 -16.726538696287093)))",85,162,77,151,82,69,110,61,49,41,12
Malla de 250m-2024.fid-68150d23_197ad17ab1b_207b,2024,P1Y,GRID_250,250mN102200E169325,250mN102200E169325,"MULTIPOLYGON (((28.078887737887836 -16.724125158724355, 28.081047961642028 -16.72480619064776, 28.08181741403149 -16.72239257290792, 28.079657168297945 -16.721711588769608, 28.078887737887836 -16.724125158724355)))",55,102,47,95,52,43,71,36,35,24,7
Malla de 250m-2024.fid-68150d23_197ad17ab1b_207c,2024,P1Y,GRID_250,250mN102200E169350,250mN102200E169350,"MULTIPOLYGON (((28.079657168297945 -16.721711588769608, 28.08181741403149 -16.72239257290792, 28.08258679886257 -16.719978922773123, 28.08042653115098 -16.719297986424024, 28.079657168297945 -16.721711588769608)))",36,68,33,64,35,30,32,16,16,33,4
Malla de 250m-2024.fid-68150d23_197ad17ab1b_207d,2024,P1Y,GRID_250,250mN102200E169700,250mN102200E169700,"MULTIPOLYGON (((28.090422099928823 -16.687918208902584, 28.092582653235215 -16.688598523616637, 28.09335109210622 -16.686184420076415, 28.091190516840232 -16.68550415320932, 28.090422099928823 -16.687918208902584)))",38,83,45,79,37,42,69,33,36,10,5
Malla de 250m-2024.fid-68150d23_197ad17ab1b_207e,2024,P1Y,GRID_250,250mN102200E169725,250mN102200E169725,"MULTIPOLYGON (((28.091190516840232 -16.68550415320932, 28.09335109210622 -16.686184420076415, 28.094119463398464 -16.683770284159, 28.09195886617417 -16.68309006514295, 28.091190516840232 -16.68550415320932)))",19,36,17,34,20,14,30,18,12,4,3
Malla de 250m-2024.fid-68150d23_197ad17ab1b_207f,2024,P1Y,GRID_250,250mN103000E169475,250mN103000E169475,"MULTIPOLYGON (((28.15262498109563 -16.731454229437194, 28.15478471053126 -16.732136725861363, 28.15555446155849 -16.729721382297967, 28.153394710095533 -16.72903893377798, 28.15262498109563 -16.731454229437194)))",10,16,6,16,10,6,11,6,5,5,0
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2080,2024,P1Y,GRID_250,250mN102200E169750,250mN102200E169750,"MULTIPOLYGON (((28.09195886617417 -16.68309006514295, 28.094119463398464 -16.683770284159, 28.09488776711059 -16.68135611586552, 28.092727147929317 -16.680675944704664, 28.09195886617417 -16.68309006514295)))",24,41,18,39,23,16,33,19,14,6,3
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2081,2024,P1Y,GRID_250,250mN102200E170825,250mN102200E170825,"MULTIPOLYGON (((28.124933939997888 -16.579253670219632, 28.127095480180007 -16.579931827740875, 28.12786087666203 -16.577516268405315, 28.125699314579766 -16.576838158916438, 28.124933939997888 -16.579253670219632)))",65,121,56,109,58,52,95,49,47,14,12
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2082,2024,P1Y,GRID_250,250mN102200E170850,250mN102200E170850,"MULTIPOLYGON (((28.125699314579766 -16.576838158916438, 28.12786087666203 -16.577516268405315, 28.128626205504176 -16.575100676746306, 28.126464621523095 -16.574422615293926, 28.125699314579766 -16.576838158916438)))",78,140,63,129,72,56,113,61,53,15,12
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2083,2024,P1Y,GRID_250,250mN102200E170875,250mN102200E170875,"MULTIPOLYGON (((28.126464621523095 -16.574422615293926, 28.128626205504176 -16.575100676746306, 28.129391466705112 -16.572685052765053, 28.127229860826525 -16.572007039353288, 28.126464621523095 -16.574422615293926)))",8,15,7,,,,,,,,
